Resist voltmetro,x 1,xerr 1,y 1,yerr 1,Resist amperom,x 2,xerr 2,y 2,yerr 2,Verifica Ohm,x 3,xerr 3,y 3,yerr 3,Parallello,x 4,xerr 4,y 4,yerr 4,Serie,x 5,xerr 5,y 5,yerr 5,Diodo,x 6,xerr 6,y 6,yerr 6,Partitore,x 7,xerr 7,y 7,yerr 7,Fit lineare,x 8,xerr 8,y 8,yerr 8,,x 9,y 9,yerr 9,,x 10,y 10,yerr 10,,x 11,y 11,yerr 11,,x 12,y 12,yerr 12,,x 13,y 13,yerr 13,,x 14,y 14,yerr 14,,x 15,y 15,yerr 15,,x 16,y 16,yerr 16,,x 17,y 17,,x 18,y 18,yerr 18
,,,,,,,,,,,1.212,0.00265927534,2.421,0.008143525547,,3.644,0.003361333267,2.419,0.008137752044,,0.7823,0.000456770665,2.336,0.007898151683,,0.819,0.003518949891,382.3,0.133454514723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.312,0.002688142853,2.621,0.008720875816,,3.944,0.003447935808,2.614,0.008700668557,,0.8477,0.000475650019,2.531,0.008461068195,,0.82,0.003521836642,404.3,0.139805367684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.41,0.002716433017,2.815,0.009280905577,,4.243,0.003534249673,2.812,0.009272245323,,0.9137,0.000494702578,2.728,0.00902975821,,0.82,0.003521836642,436,0.148956369451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.513,0.002746166555,3.019,0.009869802852,,4.544,0.003621140888,3.01,0.00984382209,,0.9778,0.000513206654,2.92,0.009584014469,,0.79,0.003435234102,111.8,0.055367890815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.611,0.002774456719,3.214,0.010432719364,,4.84,0.003706588728,3.207,0.010412512105,,1.0424,0.000531855068,3.113,0.010141157478,,0.797,0.003455441361,148.2,0.065875665715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.712,0.002803612907,3.418,0.011021616639,,5.14,0.003793191269,3.405,0.010984088871,,1.1067,0.000550416879,3.305,0.010695413737,,0.8,0.003464101615,168,0.07159143338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.813,0.002832769096,3.619,0.011601853659,,5.449,0.003882391885,3.61,0.011575872897,,1.1719,0.000569238498,3.5,0.011258330249,,0.804,0.003475648621,196,0.079674337148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.913,0.002861636609,3.819,0.012179203929,,5.744,0.00396755105,3.805,0.01213878941,,1.2363,0.000587829177,3.692,0.011812586508,,0.809,0.003490082377,239,0.092087367936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2.112,0.002919082961,4.216,0.013325244213,,6.051,0.004056174316,4.009,0.012727686684,,1.3032,0.000607141543,3.892,0.012389936777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6.352,0.004143065532,4.208,0.013302150202,,1.3679,0.000625818824,4.085,0.012947079787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
